run_id,particle,energy_keV,x,y,z,pitch_deg,phi_deg,steps,dt,method,energy_mean_err,energy_max_err,energy_rms_err,mu_mean_err,mu_max_err,mu_rms_err
20250906_161433,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,PS,1.2981111733957057e-15,1.4920818085008111e-15,1.3067434065415032e-15,0.19638328300423763,0.22029093928638954,0.19728819776959586
20250906_161516,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000,12.1,RK4,0.00025613168021617087,0.00025727674434075176,0.0002561326678323486,0.08789386895335301,0.20867646238473572,0.1115615889679949
20250906_161516,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000,12.1,RK45,5.4181811354526704e-05,5.449403123158877e-05,5.418212269616215e-05,0.08770818415439717,0.20852336244569059,0.11142962061142861
20250906_161516,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000,12.1,RKG,2159.720664622438,2159.7206646272093,2159.7206646224377,14500212091996.89,14717273084884.068,14500760962440.02
20250906_161516,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000,12.1,PS,7.885652357926787e-15,8.206449946754463e-15,7.887695412486493e-15,0.08765729611744714,0.20848360243413167,0.11139264047277711
20250906_161621,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,25362,12.1,RK4,0.0006494885943672669,0.0006525926259171018,0.000649491347300248,0.09615650818174065,0.2090273344139298,0.12143250304683527
20250906_161621,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,25362,12.1,RK45,0.0001374230514873975,0.0001376713963700713,0.0001374231468468167,0.09568565425810381,0.20864426912349954,0.12109543317834306
20250906_161621,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,25362,12.1,RKG,2159.7206601200114,2159.720660120302,2159.720660120011,236459397564102.78,240012620613458.84,236468307764878.72
20250906_161621,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,25362,12.1,PS,1.1049072206427945e-14,1.2085862648856572e-14,1.1054543538716306e-14,0.09550609307264245,0.2084835785315138,0.12098006214075546
20250906_161645,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,25362,12.1,RK4,0.0020418220475931356,0.0020489546042883316,0.0020418353388302105,0.16977599850440384,0.3132973921663208,0.18268862284914528
20250906_161645,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,25362,12.1,RK45,0.00014589806024330163,0.0001466208669802639,0.00014589888399534762,0.1674342800168873,0.31442083599996273,0.18257839298512807
20250906_161645,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,25362,12.1,RKG,2172.4430331234526,2172.4430331237454,2172.4430331234526,319570883308501.06,324373005647826.4,319582925301316.2
20250906_161645,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,25362,12.1,PS,4.567834478806852e-14,4.6851368786925467e-14,4.5681018754063626e-14,0.16719975529788353,0.3142925476479386,0.1825498142836632
20250906_161749,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,26515,12.1,RK4,0.0021336348264606834,0.0021431460635746476,0.002133654193011524,0.16722011983153842,0.3090213429937176,0.1791996378803795
20250906_161749,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,26515,12.1,RK45,0.0001520174063620452,0.00015244288735859175,0.00015201775627514245,0.16338000750187334,0.313686030701657,0.17725185235401664
20250906_161749,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,26515,12.1,RKG,2172.44303545619,2172.4430354564474,2172.44303545619,365144433884936.7,370642819294339.9,365158245447556.44
20250906_161749,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,26515,12.1,PS,4.49955568469939e-14,4.565770334012482e-14,4.499688548356622e-14,0.1627840832138782,0.31377690139681336,0.176781092282753
20250906_162323,electron,100000000.0,8.0,0.0,0.0,90.0,90.0,10000,12.1,PS,6.165282032725354e-15,6.415951776553489e-15,6.169825935661169e-15,0.10719647805822494,0.34221660729187553,0.15296778876854972
20250906_162853,electron,100000000.0,6.0,0.0,0.0,90.0,90.0,10000,12.1,PS,8.794330179303782e-15,9.847739936105354e-15,8.804825195865694e-15,0.13035747947381268,0.27868135439937536,0.16422525464031973
20250906_162936,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000,12.1,PS,7.885652357926787e-15,8.206449946754463e-15,7.887695412486493e-15,0.08765729611744714,0.20848360243413167,0.11139264047277711
20250906_163000,electron,100000000.0,4.0,0.0,0.0,90.0,90.0,10000,12.1,PS,2.7211095941629297e-14,2.760351345726501e-14,2.7212663944590705e-14,0.06857470541913183,0.1423507220113033,0.08450634018542386
20250906_163028,electron,100000000.0,3.0,0.0,0.0,90.0,90.0,10000,12.1,PS,1.4398589452032832e-14,1.58160671701086e-14,1.44122127492735e-14,0.04152499134599899,0.08453636604802574,0.051107629154048914
20250906_163054,electron,100000000.0,2.0,0.0,0.0,90.0,90.0,10000,12.1,PS,2.1739041299574393e-07,2.197633424127149e-07,2.1739352666260743e-07,0.019484823611215285,0.039096898450451036,0.02390684045557071
20250906_163114,electron,100000000.0,1.0,0.0,0.0,90.0,90.0,10000,12.1,PS,1.7489492331585126e+141,1.7489492331585123e+141,1.7489492331585123e+141,1.0,1.0,1.0
20250906_163134,electron,100000000.0,1.0,0.0,0.0,90.0,90.0,10000,1.1,PS,1.3877852900866043e-13,1.4219539635012733e-13,1.3879420212138284e-13,0.005047207582916288,0.010023943945856154,0.006171153909318256
20250906_163252,electron,100000000.0,1.0,0.0,0.0,90.0,90.0,999999,1.1,PS,9.913852142631915e-12,1.0008437146880891e-11,9.91404471827662e-12,0.005007587989887886,0.010024037796092834,0.0061347679218459895
20250906_163416,electron,10000000.0,1.0,0.0,0.0,90.0,90.0,999999,1.1,PS,1.7975935796058267e-11,1.807879389710705e-11,1.7976003982714212e-11,0.0005275252665488001,0.0010549461599243617,0.0006460658805661542
20250906_164046,electron,10000000.0,1.0,0.0,0.0,90.0,90.0,10000000,1.1,PS,1.5950935051211581e-10,1.5982529047221706e-10,1.5950948640152285e-10,0.0005274309571038124,0.0010549463222455015,0.0006459850224450862
20250906_164150,electron,10000000.0,8.0,0.0,0.0,90.0,90.0,10000,12.1,PS,3.532166313490527e-15,4.2736434524991255e-15,3.547317146619837e-15,0.04360484427509106,0.06396731261253451,0.046945356517948574
20250906_164219,electron,10000000.0,8.0,0.0,0.0,90.0,90.0,100000,12.1,PS,1.6306086593010418e-14,1.7949302500496327e-14,1.6317218991503036e-14,0.03144730276146205,0.06396813127183726,0.03885504956126089
20250906_164309,electron,10000000.0,8.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,3.568201675082e-14,4.124065931661656e-14,3.578860740276676e-14,0.03175387002140555,0.0639682369799708,0.03899449943083477
20250906_164435,electron,10000000.0,6.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,4.5206643176970275e-14,5.1497403602614464e-14,4.531956328995901e-14,0.018334874064557367,0.03684342676859163,0.022487142642958962
20250906_164559,electron,10000000.0,5.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,4.024984072401535e-13,4.092013605767913e-13,4.0250394527364953e-13,0.01288285414880117,0.02582836936761742,0.015790238749608942
20250906_164627,electron,10000000.0,4.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,1.4460721794484804e-12,1.4509019521234531e-12,1.4460737720152723e-12,0.008312325474818402,0.016659366564759488,0.010187512542675532
20250906_164658,electron,10000000.0,3.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,6.0326998846797906e-12,6.0743431212096326e-12,6.032741370968427e-12,0.004709699237485489,0.009428191666074032,0.00577009611028378
20250906_164734,electron,10000000.0,2.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,6.426110973538946e-09,6.4616540252940325e-09,6.4261377988541266e-09,0.0021037746787296078,0.0042086898352922215,0.0025768151240288945
20250906_164855,electron,1000000.0,2.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,3.198745361799288e-10,3.217197559586555e-10,3.1987597347973653e-10,0.00028588208934783956,0.0005717753320228695,0.00035013548799631573
20250906_164933,electron,1000000.0,2.0,0.0,0.0,90.0,90.0,999999,20.1,PS,6.0099224990488596e-05,6.0412259020907394e-05,6.009947806304528e-05,0.00024835616659958914,0.0004959702445156743,0.00030308558730524445
20250906_165211,electron,1000000.0,2.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,3.2040774311525905e-09,3.2204704396040944e-09,3.2040909777837305e-09,0.0002858763870909618,0.0005717786138776396,0.0003501304925060906
20250906_165438,electron,1000000.0,2.0,0.0,0.0,90.0,90.0,10000000,25.1,PS,0.06971315098176277,0.07016605310055651,0.06971349742641013,0.06940734752750952,0.07009944826067067,0.06940805730728482
